date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:54:48	88/88	U--MCZ	200	updated ('OK')	text/plain	date:Sat,%2014%20Jun%202025%2014:54:47%20GMT	https://guns.lol/robots.txt		(from )
16:54:48	31657/31657	U--MCZ	200	updated ('OK')	text/html	date:Sat,%2014%20Jun%202025%2014:54:48%20GMT	https://guns.lol/zleon	C:/Users/danin/OneDrive/Desktop/test/asd/guns.lol/zleon.html	(from )
16:54:48	20279/20279	---MCZ	200	added ('OK')	application/javascript	etag:W/%224f37-1964048886d%22	https://guns.lol/_next/static/chunks/8317-551082d7963a590d.js	C:/Users/danin/OneDrive/Desktop/test/asd/guns.lol/_next/static/chunks/8317-551082d7963a590d.js	(from https://guns.lol/zleon)
16:54:48	80464/80464	---MCZ	200	added ('OK')	application/javascript	etag:W/%2213a50-1972b5ed8dc%22	https://guns.lol/_next/static/chunks/9320-c964abeb0b98869f.js	C:/Users/danin/OneDrive/Desktop/test/asd/guns.lol/_next/static/chunks/9320-c964abeb0b98869f.js	(from https://guns.lol/zleon)
16:54:49	13902/13902	---MCZ	200	added ('OK')	application/javascript	etag:W/%22364e-1964a5eb5fd%22	https://guns.lol/_next/static/chunks/6990-20968a621a3be1f5.js	C:/Users/danin/OneDrive/Desktop/test/asd/guns.lol/_next/static/chunks/6990-20968a621a3be1f5.js	(from https://guns.lol/zleon)
16:54:49	9939/9939	---MCZ	200	added ('OK')	application/javascript	etag:W/%2226d3-196caeeba19%22	https://guns.lol/_next/static/chunks/9677-fb2b81040d185490.js	C:/Users/danin/OneDrive/Desktop/test/asd/guns.lol/_next/static/chunks/9677-fb2b81040d185490.js	(from https://guns.lol/zleon)
16:54:49	95345/95345	U-----	200	untouched ('')	image/gif	etag:%22582ba9809133b13f8c9cfa4cd296718a%22	https://r2.guns.lol/4ed71ac8-05ad-41ae-97a5-588a822687df.gif	C:/Users/danin/OneDrive/Desktop/test/asd/r2.guns.lol/4ed71ac8-05ad-41ae-97a5-588a822687df.gif	(from https://guns.lol/zleon)
16:54:49	68738/68738	---MCZ	200	added ('OK')	application/javascript	etag:W/%2210c82-196caeeba19%22	https://guns.lol/_next/static/chunks/4923-5305854283867663.js	C:/Users/danin/OneDrive/Desktop/test/asd/guns.lol/_next/static/chunks/4923-5305854283867663.js	(from https://guns.lol/zleon)
16:54:49	18034/18034	---MCZ	200	added ('OK')	application/javascript	etag:W/%224672-1964048886d%22	https://guns.lol/_next/static/chunks/6696-45c4baeb455b6a2c.js	C:/Users/danin/OneDrive/Desktop/test/asd/guns.lol/_next/static/chunks/6696-45c4baeb455b6a2c.js	(from https://guns.lol/zleon)
16:54:50	32975/32975	---MCZ	200	added ('OK')	application/javascript	etag:W/%2280cf-1972b5ed8e0%22	https://guns.lol/_next/static/chunks/8011-a348fbeef4351322.js	C:/Users/danin/OneDrive/Desktop/test/asd/guns.lol/_next/static/chunks/8011-a348fbeef4351322.js	(from https://guns.lol/zleon)
16:54:50	221508/221508	U-----	200	untouched ('OK')	text/css	etag:W/%2236144-19640488879%22	https://guns.lol/_next/static/css/33cd60ccabffe20a.css	C:/Users/danin/OneDrive/Desktop/test/asd/guns.lol/_next/static/css/33cd60ccabffe20a.css	(from https://guns.lol/zleon)
16:54:50	117879/117879	---MCZ	200	added ('OK')	application/javascript	etag:W/%221cc77-1972b5ed8e0%22	https://guns.lol/_next/static/chunks/1090-c25af56883c9839d.js	C:/Users/danin/OneDrive/Desktop/test/asd/guns.lol/_next/static/chunks/1090-c25af56883c9839d.js	(from https://guns.lol/zleon)
16:54:50	7966/7966	---MCZ	200	added ('OK')	application/javascript	etag:W/%221f1e-197031ff9f0%22	https://guns.lol/_next/static/chunks/app/%5Busername%5D/page-38552e58254d8e61.js	C:/Users/danin/OneDrive/Desktop/test/asd/guns.lol/_next/static/chunks/app/[username]/page-38552e58254d8e61.js	(from https://guns.lol/zleon)
16:54:51	70355/70355	U-----	200	untouched ('OK')	text/css	etag:W/%22112d3-197031ffa00%22	https://guns.lol/_next/static/css/11999634b1bc477a.css	C:/Users/danin/OneDrive/Desktop/test/asd/guns.lol/_next/static/css/11999634b1bc477a.css	(from https://guns.lol/zleon)
16:54:51	6375/6375	U-----	200	untouched ('')	application/javascript	etag:W/%2218e7-1972b5ed8dc%22	https://guns.lol/_next/static/chunks/webpack-c49c703ef40b683a.js	C:/Users/danin/OneDrive/Desktop/test/asd/guns.lol/_next/static/chunks/webpack-c49c703ef40b683a.js	(from https://guns.lol/zleon)
16:54:51	102374/102374	U-----	200	untouched ('OK')	text/css	etag:W/%2218fe6-197031ffa00%22	https://guns.lol/_next/static/css/4c1a83e784be31e5.css	C:/Users/danin/OneDrive/Desktop/test/asd/guns.lol/_next/static/css/4c1a83e784be31e5.css	(from https://guns.lol/zleon)
16:54:52	7501/7501	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2014%20Jun%202025%2014:54:51%20GMT	https://sa.guns.lol/latest.js	C:/Users/danin/OneDrive/Desktop/test/asd/sa.guns.lol/latest.js	(from https://guns.lol/zleon)
16:54:52	169112/169112	U-----	200	untouched ('')	application/javascript	etag:W/%2229498-1964048886d%22	https://guns.lol/_next/static/chunks/4bd1b696-5cc00fdd89cac993.js	C:/Users/danin/OneDrive/Desktop/test/asd/guns.lol/_next/static/chunks/4bd1b696-5cc00fdd89cac993.js	(from https://guns.lol/zleon)
